0	01
5000	02
8000	03
11000	04
14000	05
17000	06
22000	05
25000	04
28000	03
31000	02
34000	01
39000	07
42000	08
45000	09
48000	10
51000	06
56000	10
59000	09
62000	08
65000	07
68000	01
73000	02
76000	03
79000	04
82000	05
85000	06
90000	05
93000	04
96000	03
99000	02
102000	01
107000	07
110000	08
113000	09
116000	10
119000	06
124000	10
127000	09
130000	08
133000	07
136000	01
141000	02
144000	03
147000	04
150000	05
153000	06
158000	05
161000	04
164000	03
167000	02
170000	01
175000	07
178000	08
181000	09
184000	10
187000	06
192000	10
195000	09
198000	08
201000	07
204000	01
209000	02
212000	03
215000	04
218000	05
221000	06
226000	05
229000	04
232000	03
235000	02
238000	01
243000	07
246000	08
249000	09
252000	10
255000	06
260000	10
263000	09
266000	08
269000	07
272000	01
277000	01
