0	01
15300	02
20400	03
25500	04
30600	05
35700	06
51000	05
56100	04
61200	03
66300	02
71400	01
86700	07
91800	08
96900	09
102000	10
107100	06
122400	10
127500	09
132600	08
137700	07
142800	01
158100	02
163200	03
168300	04
173400	05
178500	06
193800	05
198900	04
204000	03
209100	02
214200	01
229500	07
234600	08
239700	09
244800	10
249900	06
265200	10
270300	09
275400	08
280500	07
285600	01
300900	02
306000	03
311100	04
316200	05
321300	06
336600	05
341700	04
346800	03
351900	02
357000	01
372300	07
377400	08
382500	09
387600	10
392700	06
408000	10
413100	09
418200	08
423300	07
428400	01
443700	02
448800	03
453900	04
459000	05
464100	06
479400	05
484500	04
489600	03
494700	02
499800	01
515100	07
520200	08
525300	09
530400	10
535500	06
550800	10
555900	09
561000	08
566100	07
571200	01
586500	01
